hunt_code,open_date,close_date,bag_limit_description,notes
63-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
63-6,2026-08-15,2026-10-31,Cow or calf valid off national forest north of Gooseberry Creek,Regular season; Quota: 200
63-6,2026-11-01,2026-12-21,Cow or calf valid in the entire area,Regular season
63-6-ARCH,2026-09-01,2026-09-30,Cow or calf valid in the entire area,Special archery season
64-6,2026-09-01,2026-11-14,Cow or calf valid in that portion of the Cottonwood Creek drainage downstream of and including the 21- Creek drainage; also valid within the Grass Creek drainage downstream of the Grass Creek/Little Grass Creek confluence,Regular season; Quota: 250
64-6,2026-11-15,2026-12-21,Cow or calf valid in the entire area,Regular season
64-6-ARCH,2026-09-01,2026-09-30,Cow or calf valid in the entire area,Special archery season
64-7,2026-10-15,2026-12-21,Cow or calf valid south of and including the Cottonwood Creek drainage,Regular season; Quota: 300
64-7-ARCH,2026-09-01,2026-09-30,Cow or calf valid south of and including the Cottonwood Creek drainage,Special archery season
65-Gen,2027-01-01,2027-01-15,Antlerless elk,Regular season
65-1,2026-10-01,2026-10-31,Any elk,Regular season; Quota: 25
65-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
65-4,2026-08-15,2026-12-21,Antlerless elk,Regular season; Quota: 100
65-6,2026-08-15,2026-10-31,Cow or calf,Regular season; Quota: 150
65-7,2026-11-01,2026-12-21,Cow or calf,Regular season; Quota: 250
66-Gen,2026-10-01,2026-10-21,Any elk,Regular season
66-Gen-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
66-6,2026-08-15,2027-01-15,Cow or calf,Regular season; Quota: 150
67-Gen-ARCH,2026-09-15,2026-09-30,Any elk,Special archery season
67-Gen,2026-10-01,2026-10-10,Antlered elk,Regular season
67-Gen,2026-10-11,2026-10-31,"Antlered elk, spikes excluded",Regular season
67-4,2026-11-01,2026-12-31,Antlerless elk,Regular season; Quota: 400
67-4-ARCH,2026-09-15,2026-09-30,Antlerless elk,Special archery season
67-6,2026-12-01,2026-12-31,Cow or calf valid west of the Wiggins Fork and west of the East Fork downstream from the confluence with the Wiggins Fork,Regular season; Quota: 450
67-6-ARCH,2026-09-15,2026-09-30,Cow or calf valid west of the Wiggins Fork and west of the East Fork downstream from the confluence with the Wiggins Fork,Special archery season
67-7,2026-10-15,2026-10-31,Cow or calf,Regular season; Quota: 450
67-7-ARCH,2026-09-15,2026-09-30,Cow or calf,Special archery season
67-7,2026-11-01,2026-11-30,Cow or calf valid west of the Wiggins Fork and west of the East Fork downstream from the confluence with the Wiggins Fork,Regular season
"67, 68, 69-9",2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 150
68-Gen-ARCH,2026-09-15,2026-09-30,Any elk,Special archery season
68-Gen,2026-10-01,2026-10-10,Antlered elk,Regular season
68-Gen,2026-10-11,2026-10-31,"Antlered elk, spikes excluded",Regular season
68-6,2026-11-01,2026-11-30,Cow or calf,Regular season; Quota: 100
